SPECIESID,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year
Fis-115746,NA,NA,NA,NA
Fis-33913,NA,NA,NA,NA
Fis-33925,NA,NA,NA,NA
Fis-33933,NA,NA,NA,NA
Fis-33943,NA,NA,NA,NA
Fis-33986,NA,NA,NA,NA
Fis-34027,LC,NA,Unknown,2015
Fis-27875,NA,NA,NA,NA
Fis-27893,NA,NA,NA,NA
Fis-34147,LC,NA,Unknown,2015
Fis-126092,LC,NA,Unknown,2015
Fis-27984,LC,NA,Unknown,2015
Fis-34201,NA,NA,NA,NA
Fis-34206,LC,NA,Unknown,2015
Fis-34410,LC,NA,Unknown,2015
Fis-28109,LC,NA,Unknown,2015
Fis-34480,LC,NA,Unknown,2015
Fis-28112,LC,NA,Unknown,2015
Fis-34595,LC,NA,Unknown,2015
Fis-34615,LC,NA,Unknown,2015
Fis-34639,NA,NA,NA,NA
Fis-34692,NA,NA,NA,NA
Fis-34702,NA,NA,NA,NA
Fis-34710,NA,NA,NA,NA
Fis-162325,LC,NA,Unknown,2015
Fis-34762,DD,NA,Unknown,2015
Fis-28170,LC,NA,Unknown,2015
Fis-34769,LC,NA,Stable,2010
Fis-34776,DD,NA,Unknown,2015
Fis-34778,LC,NA,Unknown,2015
Fis-34782,LC,NA,Unknown,2015
Fis-28178,LC,NA,Unknown,2015
Fis-34786,LC,NA,Unknown,2015
Fis-34790,LC,NA,Unknown,2015
Fis-28184,LC,NA,Unknown,2015
Fis-28185,LC,NA,Unknown,2015
Fis-34792,LC,NA,Unknown,2015
Fis-28188,LC,NA,Unknown,2015
Fis-34796,NA,NA,NA,NA
Fis-34798,NA,NA,NA,NA
Fis-34804,NA,NA,NA,NA
Fis-34805,LC,NA,Unknown,2015
Fis-28191,NA,NA,NA,NA
Fis-34806,LC,NA,Unknown,2015
Fis-34809,NA,NA,NA,NA
Fis-34810,LC,NA,Unknown,2015
Fis-34812,LC,NA,Unknown,2015
Fis-34817,NA,NA,NA,NA
Fis-34818,LC,NA,Unknown,2015
Fis-34821,DD,NA,Unknown,2015
Fis-28192,LC,NA,Unknown,2015
Fis-34823,NA,NA,NA,NA
