SPECIESID,iucn_category,iucn_criteria,iucn_population_trend,iucn_published_year
Fis-35001,NA,NA,NA,NA
Fis-35002,LC,NA,Stable,2015
Fis-35003,LC,NA,Stable,2015
Fis-35004,LC,NA,Unknown,2015
Fis-35005,LC,NA,Stable,2015
Fis-35007,LC,NA,Stable,2015
Fis-28380,NA,NA,NA,NA
Fis-35068,LC,NA,Stable,2010
Fis-28408,LC,NA,Stable,2010
Fis-35069,NA,NA,NA,NA
Fis-35070,NA,NA,NA,NA
Fis-28411,NA,NA,NA,NA
Fis-139140,NA,NA,NA,NA
Fis-15686,NA,NA,NA,NA
Fis-35089,LC,NA,Stable,2010
Fis-35091,LC,NA,Stable,2010
Fis-59430,NA,NA,NA,NA
Fis-35094,LC,NA,Stable,2010
Fis-35096,LC,NA,Stable,2010
Fis-35097,LC,NA,Stable,2010
Fis-28456,LC,NA,Stable,2010
Fis-28467,LC,NA,Unknown,2015
Fis-28471,LC,NA,Unknown,2015
Fis-28473,NA,NA,NA,NA
Fis-35121,NA,NA,NA,NA
Fis-28475,NA,NA,NA,NA
Fis-28476,NA,NA,NA,NA
Fis-35123,LC,NA,Unknown,2010
Fis-35124,LC,NA,Unknown,2010
Fis-28479,NA,NA,NA,NA
Fis-35153,DD,NA,Unknown,2014
Fis-46992,NA,NA,NA,NA
Fis-165277,NA,NA,NA,NA
Fis-149838,LC,NA,Stable,2015
Fis-35157,NA,NA,NA,NA
Fis-35162,NA,NA,NA,NA
Fis-35163,NA,NA,NA,NA
Fis-35164,NA,NA,NA,NA
Fis-28503,NA,NA,NA,NA
Fis-35167,LC,NA,Unknown,2010
Fis-35170,NA,NA,NA,NA
Fis-35171,NA,NA,NA,NA
Fis-35172,NA,NA,NA,NA
Fis-35173,NA,NA,NA,NA
Fis-35174,NA,NA,NA,NA
Fis-28504,NA,NA,NA,NA
Fis-28505,NA,NA,NA,NA
Fis-28506,LC,NA,Unknown,2014
Fis-35175,LC,NA,Unknown,2010
Fis-35176,LC,NA,Unknown,2014
Fis-169105,LC,NA,Unknown,2015
Fis-28508,LC,NA,Unknown,2015
Fis-35178,LC,NA,Unknown,2015
Fis-28510,NA,NA,NA,NA
Fis-28511,NA,NA,NA,NA
Fis-28512,NA,NA,NA,NA
Fis-28513,NA,NA,NA,NA
Fis-28514,LC,NA,Unknown,2010
Fis-28516,LC,NA,Unknown,2010
Fis-28517,LC,NA,Unknown,2010
Fis-28518,NA,NA,NA,NA
Fis-35279,LC,NA,Unknown,2016
Fis-28519,NA,NA,NA,NA
Fis-35182,NA,NA,NA,NA
Fis-28520,NA,NA,NA,NA
Fis-28521,NA,NA,NA,NA
Fis-35183,NA,NA,NA,NA
Fis-28522,LC,NA,Unknown,2010
Fis-35187,NA,NA,NA,NA
Fis-35188,NA,NA,NA,NA
Fis-35189,NA,NA,NA,NA
Fis-35190,LC,NA,Unknown,2015
Fis-28523,NA,NA,NA,NA
Fis-28524,LC,NA,Unknown,2010
Fis-35192,NA,NA,NA,NA
Fis-35196,NA,NA,NA,NA
Fis-35198,NA,NA,NA,NA
Fis-35199,NA,NA,NA,NA
Fis-35200,NA,NA,NA,NA
Fis-35201,NA,NA,NA,NA
Fis-35202,NA,NA,NA,NA
Fis-35204,NA,NA,NA,NA
Fis-28525,NA,NA,NA,NA
Fis-35205,NA,NA,NA,NA
Fis-35207,NA,NA,NA,NA
Fis-35208,NA,NA,NA,NA
Fis-35209,NA,NA,NA,NA
Fis-35210,LC,NA,Unknown,2010
Fis-35214,NA,NA,NA,NA
Fis-35215,NA,NA,NA,NA
Fis-35216,NA,NA,NA,NA
Fis-35217,NA,NA,NA,NA
Fis-137736,NA,NA,NA,NA
Fis-35219,NA,NA,NA,NA
Fis-28527,LC,NA,Unknown,2010
Fis-28528,LC,NA,Unknown,2010
Fis-28529,LC,NA,Unknown,2010
Fis-35223,LC,NA,Unknown,2015
Fis-150883,VU,D2,Unknown,2010
Fis-28532,LC,NA,Unknown,2010
Fis-35229,LC,NA,Stable,2010
Fis-28538,LC,NA,Stable,2010
Fis-35231,LC,NA,Stable,2010
Fis-35232,LC,NA,Stable,2010
Fis-58068,LC,NA,Stable,2010
Fis-35234,LC,NA,Stable,2010
Fis-35236,LC,NA,Stable,2010
Fis-164166,NA,NA,NA,NA
Fis-28541,LC,NA,Unknown,2010
Fis-35245,NA,NA,NA,NA
Fis-35246,NA,NA,NA,NA
Fis-35247,NA,NA,NA,NA
Fis-35248,NA,NA,NA,NA
Fis-35249,LC,NA,Unknown,2016
Fis-35250,NA,NA,NA,NA
Fis-35251,NA,NA,NA,NA
Fis-115260,NA,NA,NA,NA
Fis-35254,NA,NA,NA,NA
Fis-35255,NA,NA,NA,NA
Fis-35256,LC,NA,Unknown,2016
Fis-28543,NA,NA,NA,NA
Fis-144973,NA,NA,NA,NA
Fis-28546,LC,NA,Unknown,2016
Fis-28548,LC,NA,Unknown,2016
Fis-28549,NA,NA,NA,NA
Fis-159584,VU,A2bd+3bd+4bd,Decreasing,2016
Fis-28552,NA,NA,NA,NA
Fis-35263,NA,NA,NA,NA
Fis-28555,NA,NA,NA,NA
Fis-35264,NA,NA,NA,NA
Fis-35265,NA,NA,NA,NA
Fis-28559,VU,A2d+3d+4d,Decreasing,2006
Fis-28560,EN,A2d+3d+4d,Decreasing,2006
Fis-35266,LC,NA,Unknown,2016
Fis-28561,EN,A2d+3d,Decreasing,2017
Fis-35267,LC,NA,Unknown,2010
Fis-28562,EN,A2d,Decreasing,2016
Fis-28563,VU,A2bd,Decreasing,2016
Fis-28564,LC,NA,Unknown,2016
Fis-28565,NT,NA,Decreasing,2016
Fis-35270,NA,NA,NA,NA
Fis-35272,NA,NA,NA,NA
Fis-35273,NA,NA,NA,NA
Fis-35274,LC,NA,Unknown,2016
Fis-35276,NA,NA,NA,NA
Fis-28566,NA,NA,NA,NA
Fis-28567,LC,NA,Unknown,2016
Fis-28569,NA,NA,NA,NA
Fis-35278,LC,NA,Unknown,2016
Fis-35280,NA,NA,NA,NA
Fis-35281,LC,NA,Unknown,2012
Fis-35282,LC,NA,Unknown,2012
Fis-169482,NA,NA,NA,NA
Fis-35284,NA,NA,NA,NA
Fis-28570,NA,NA,NA,NA
Fis-35285,NA,NA,NA,NA
Fis-35286,LC,NA,Stable,2014
Fis-35287,LC,NA,Stable,2014
Fis-28572,LC,NA,Stable,2014
Fis-28573,LC,NA,Stable,2014
Fis-35292,LC,NA,Stable,2010
Fis-35293,LC,NA,Stable,2014
Fis-35294,LC,NA,Stable,2014
Fis-35295,NA,NA,NA,NA
Fis-28574,NA,NA,NA,NA
Fis-28575,LC,NA,Unknown,2016
Fis-160844,LC,NA,Unknown,2016
Fis-28576,LC,NA,Unknown,2016
Fis-28577,NA,NA,NA,NA
Fis-149781,LC,NA,Unknown,2016
Fis-35301,NA,NA,NA,NA
Fis-163622,NA,NA,NA,NA
Fis-28579,NA,NA,NA,NA
Fis-28580,LC,NA,Unknown,2010
Fis-28581,LC,NA,Unknown,2010
Fis-28582,LC,NA,Unknown,2016
Fis-35304,NA,NA,NA,NA
Fis-35306,LC,NA,Unknown,2016
Fis-35307,LC,NA,Unknown,2016
Fis-28584,NA,NA,NA,NA
Fis-35313,LC,NA,Unknown,2014
Fis-28586,LC,NA,Unknown,2010
Fis-28588,NA,NA,NA,NA
Fis-35318,NA,NA,NA,NA
Fis-28590,LC,NA,Unknown,2010
Fis-35319,LC,NA,Unknown,2016
Fis-35320,NA,NA,NA,NA
Fis-35321,NA,NA,NA,NA
Fis-35322,NA,NA,NA,NA
Fis-28592,NT,NA,Unknown,2012
Fis-162928,NA,NA,NA,NA
Fis-28600,LC,NA,Stable,2016
Fis-28602,LC,NA,Unknown,2010
Fis-28603,NA,NA,NA,NA
Fis-35326,LC,NA,Unknown,2010
Fis-28604,NA,NA,NA,NA
Fis-28605,LC,NA,Unknown,2016
Fis-35327,LC,NA,Unknown,2010
Fis-35329,LC,NA,Unknown,2018
Fis-28606,LC,NA,Unknown,2018
Fis-57922,LC,NA,Unknown,2018
Fis-35331,NA,NA,NA,NA
Fis-28608,NA,NA,NA,NA
Fis-35332,NA,NA,NA,NA
Fis-35334,NA,NA,NA,NA
Fis-28609,LC,NA,Unknown,2010
Fis-170292,NA,NA,NA,NA
Fis-28612,NA,NA,NA,NA
Fis-35336,LC,NA,Unknown,2016
Fis-35338,LC,NA,Stable,2016
Fis-35339,LC,NA,Unknown,2016
Fis-35340,LC,NA,Unknown,2016
Fis-35341,LC,NA,Stable,2014
Fis-28613,LC,NA,Unknown,2016
Fis-28614,LC,NA,Unknown,2015
W-Hyd-135419,NA,NA,NA,NA
Fis-35346,LC,NA,Decreasing,2016
Fis-28615,LC,NA,Unknown,2015
Fis-28616,LC,NA,Unknown,2015
Fis-28617,LC,NA,Unknown,2018
Fis-35347,LC,NA,Unknown,2014
Fis-28618,LC,NA,Unknown,2014
Fis-28620,LC,NA,Unknown,2015
Fis-28621,LC,NA,Unknown,2016
Fis-28622,LC,NA,Unknown,2014
Fis-58709,LC,NA,Unknown,2010
Fis-28623,LC,NA,Unknown,2010
Fis-35351,LC,NA,Unknown,2010
Fis-35352,LC,NA,Stable,2012
Fis-35354,LC,NA,Unknown,2016
Fis-28624,NA,NA,NA,NA
Fis-35355,LC,NA,Stable,2014
Fis-28625,LC,NA,Stable,2014
Fis-28627,LC,NA,Unknown,2010
Fis-35356,LC,NA,Unknown,2010
Fis-28630,NA,NA,NA,NA
Fis-28631,LC,NA,Unknown,2010
Fis-35357,LC,NA,Unknown,2016
Fis-28633,LC,NA,Stable,2016
Fis-28634,LC,NA,Unknown,2010
Fis-169602,NA,NA,NA,NA
Fis-50145,LC,NA,Unknown,2015
Fis-35371,LC,NA,Stable,2016
Fis-35373,NA,NA,NA,NA
Fis-28639,LC,NA,Unknown,2016
Fis-35375,NA,NA,NA,NA
Fis-35377,LC,NA,Unknown,2014
Fis-57950,LC,NA,Unknown,2012
Fis-35382,NA,NA,NA,NA
Fis-28640,LC,NA,Unknown,2012
Fis-28641,LC,NA,Unknown,2012
Fis-165475,LC,NA,Unknown,2012
Fis-21342,LC,NA,Unknown,2012
Fis-35385,LC,NA,Unknown,2012
Fis-28644,LC,NA,Unknown,2012
Fis-28645,LC,NA,Unknown,2012
Fis-28647,LC,NA,Unknown,2012
Fis-28649,LC,NA,Unknown,2016
Fis-28651,LC,NA,Unknown,2010
Fis-28656,LC,NA,Unknown,2016
Fis-28657,DD,NA,Unknown,2010
Fis-28658,EN,A2bd,Decreasing,2010
Fis-28660,LC,NA,Unknown,2016
Fis-35391,NA,NA,NA,NA
Fis-35392,NA,NA,NA,NA
Fis-28661,LC,NA,Unknown,2018
Fis-28664,LC,NA,Stable,2016
Fis-35399,NA,NA,NA,NA
Fis-35400,NA,NA,NA,NA
Fis-35401,NA,NA,NA,NA
Fis-35403,NA,NA,NA,NA
Fis-28665,NA,NA,NA,NA
Fis-28666,NA,NA,NA,NA
Fis-57981,LC,NA,Unknown,2016
Fis-28668,NA,NA,NA,NA
Fis-28669,NA,NA,NA,NA
Fis-124167,NA,NA,NA,NA
Fis-28671,NA,NA,NA,NA
Fis-35406,LC,NA,Unknown,2016
Fis-28672,LC,NA,Unknown,2016
Fis-35407,VU,D2,Unknown,2010
Fis-28673,LC,NA,Unknown,2016
Fis-35408,NA,NA,NA,NA
Fis-28674,NA,NA,NA,NA
Fis-28675,LC,NA,Unknown,2016
Fis-28676,LC,NA,Unknown,2018
Fis-35409,LC,NA,Unknown,2016
Fis-28677,LC,NA,Unknown,2016
Fis-35410,NA,NA,NA,NA
Fis-164871,LC,NA,Unknown,2016
Fis-21582,LC,NA,Unknown,2016
Fis-156511,LC,NA,Unknown,2016
Fis-28679,NA,NA,NA,NA
Fis-35412,NA,NA,NA,NA
Fis-35413,NA,NA,NA,NA
Fis-35414,NA,NA,NA,NA
Fis-28683,VU,D2,Unknown,2010
Fis-28685,NA,NA,NA,NA
Fis-28686,NA,NA,NA,NA
Fis-35417,LC,NA,Unknown,2010
Fis-35418,NA,NA,NA,NA
Fis-28687,NA,NA,NA,NA
Fis-28689,NA,NA,NA,NA
Fis-28690,LC,NA,Unknown,2010
Fis-132976,NA,NA,NA,NA
Fis-35419,NA,NA,NA,NA
Fis-35420,NA,NA,NA,NA
Fis-35421,NA,NA,NA,NA
Fis-28693,NA,NA,NA,NA
Fis-28694,LC,NA,Unknown,2004
Fis-28698,LC,NA,Stable,2014
Fis-35422,LC,NA,Stable,2014
Fis-35426,NA,NA,NA,NA
Fis-35427,NA,NA,NA,NA
Fis-28703,LC,NA,Decreasing,2010
Fis-28704,NA,NA,NA,NA
Fis-28705,NA,NA,NA,NA
Fis-28706,NA,NA,NA,NA
Fis-35430,NA,NA,NA,NA
Fis-28707,LC,NA,Unknown,2010
Fis-21617,DD,NA,Unknown,2009
Fis-28708,DD,NA,Unknown,2010
Fis-35432,NA,NA,NA,NA
Fis-21559,NA,NA,NA,NA
Fis-35436,LC,NA,Unknown,2016
Fis-35437,NA,NA,NA,NA
Fis-28720,NA,NA,NA,NA
Fis-123102,LC,NA,Unknown,2016
Fis-35439,NA,NA,NA,NA
Fis-62896,NA,NA,NA,NA
Fis-21581,NA,NA,NA,NA
Fis-35443,NA,NA,NA,NA
Fis-35444,NA,NA,NA,NA
Fis-167277,NA,NA,NA,NA
Fis-35447,NA,NA,NA,NA
Fis-28725,LC,NA,Stable,2016
Fis-28726,LC,NA,Unknown,2016
Fis-35448,NA,NA,NA,NA
Fis-35449,NA,NA,NA,NA
Fis-35450,NA,NA,NA,NA
Fis-28728,NA,NA,NA,NA
Fis-28729,NA,NA,NA,NA
Fis-28733,LC,NA,Stable,2014
Fis-28734,NA,NA,NA,NA
Fis-53895,NA,NA,NA,NA
Fis-35453,LC,NA,Unknown,2010
Fis-28736,LC,NA,Unknown,2012
Fis-35454,LC,NA,Unknown,2010
Fis-35455,LC,NA,Unknown,2010
Fis-35456,LC,NA,Unknown,2010
Fis-35457,NA,NA,NA,NA
Fis-28740,NA,NA,NA,NA
Fis-35458,NA,NA,NA,NA
Fis-28743,LC,NA,Unknown,2010
Fis-28744,LC,NA,Unknown,2010
Fis-35461,LC,NA,Unknown,2010
Fis-28745,NA,NA,NA,NA
Fis-35465,LC,NA,Stable,2014
Fis-46974,LC,NA,Unknown,2010
Fis-35467,LC,NA,Unknown,2014
Fis-28748,NA,NA,NA,NA
Fis-35468,NA,NA,NA,NA
Fis-28752,LC,NA,Unknown,2010
Fis-28755,NA,NA,NA,NA
Fis-11214,LC,NA,Unknown,2016
Fis-35470,NA,NA,NA,NA
Fis-35473,NA,NA,NA,NA
Fis-28760,NA,NA,NA,NA
Fis-35474,NA,NA,NA,NA
Fis-28762,LC,NA,Decreasing,2014
Fis-28765,LC,NA,Decreasing,2014
Fis-35475,DD,NA,Unknown,2018
Fis-28767,LC,NA,Unknown,2014
Fis-28768,LC,NA,Unknown,2014
Fis-28769,LC,NA,Unknown,2016
Fis-35476,LC,NA,Unknown,2010
Fis-35479,NA,NA,NA,NA
Fis-35480,DD,NA,Decreasing,2010
Fis-35481,LC,NA,Unknown,2017
Fis-35494,NA,NA,NA,NA
Fis-35495,LC,NA,Unknown,2010
Fis-35496,LC,NA,Unknown,2010
Fis-132907,NA,NA,NA,NA
Fis-35500,LC,NA,Unknown,2010
Fis-35501,NA,NA,NA,NA
Fis-131849,LC,NA,Stable,2018
Fis-28784,LC,NA,Stable,2018
Fis-28785,NA,NA,NA,NA
Fis-28787,NA,NA,NA,NA
Fis-21787,NA,NA,NA,NA
Fis-35506,LC,NA,Unknown,2010
Fis-139810,NA,NA,NA,NA
Fis-35514,VU,A2bd,Decreasing,2016
Fis-35520,NT,NA,Unknown,2009
Fis-35523,DD,NA,Unknown,2009
Fis-35524,NA,NA,NA,NA
Fis-35525,NA,NA,NA,NA
Fis-35536,NT,NA,Unknown,2006
Fis-21816,DD,NA,Unknown,2006
Fis-28849,NA,NA,NA,NA
Fis-28850,DD,NA,Unknown,2009
Fis-35538,DD,NA,Unknown,2009
Fis-35539,DD,NA,Unknown,2009
Fis-28853,DD,NA,Unknown,2009
Fis-35548,LC,NA,Stable,2012
Fis-116692,NA,NA,NA,NA
Fis-35549,LC,NA,Stable,2012
Fis-28882,NA,NA,NA,NA
Fis-28883,LC,NA,Unknown,2010
Fis-28885,LC,NA,Unknown,2010
Fis-28886,LC,NA,Unknown,2010
Fis-28888,LC,NA,Unknown,2010
Fis-58200,LC,NA,Unknown,2010
Fis-28890,LC,NA,Unknown,2010
Fis-35552,LC,NA,Unknown,2010
Fis-165022,LC,NA,Unknown,2010
Fis-28893,LC,NA,Unknown,2010
Fis-143064,LC,NA,Unknown,2010
Fis-28902,NA,NA,NA,NA
Fis-35563,LC,NA,Unknown,2010
Fis-35564,NA,NA,NA,NA
Fis-35565,LC,NA,Unknown,2016
Fis-28904,LC,NA,Unknown,2010
Fis-35569,NA,NA,NA,NA
Fis-35570,NA,NA,NA,NA
Fis-28911,LC,NA,Unknown,2010
Fis-28914,LC,NA,Unknown,2010
Fis-28915,NA,NA,NA,NA
Fis-35575,LC,NA,Unknown,2010
Fis-35576,LC,NA,Unknown,2010
Fis-35577,LC,NA,Unknown,2010
Fis-28917,LC,NA,Unknown,2010
Fis-28918,LC,NA,Unknown,2010
Fis-35580,LC,NA,Unknown,2010
Fis-167613,NA,NA,NA,NA
Fis-35583,LC,NA,Unknown,2010
Fis-28919,LC,NA,Unknown,2010
Fis-127725,LC,NA,Unknown,2010
Fis-118742,NA,NA,NA,NA
Fis-28922,LC,NA,Unknown,2014
Fis-28923,LC,NA,Unknown,2014
Fis-35586,LC,NA,Unknown,2010
Fis-28929,LC,NA,Unknown,2010
Fis-139556,LC,NA,Unknown,2010
Fis-35589,LC,NA,Unknown,2010
Fis-28930,NA,NA,NA,NA
Fis-28931,NA,NA,NA,NA
Fis-28933,LC,NA,Unknown,2010
Fis-28934,LC,NA,Unknown,2010
Fis-35592,LC,NA,Unknown,2010
Fis-35593,LC,NA,Unknown,2010
Fis-35594,LC,NA,Unknown,2010
Fis-35596,LC,NA,Unknown,2010
Fis-35597,LC,NA,Unknown,2010
Fis-35598,LC,NA,Unknown,2010
Fis-35599,LC,NA,Unknown,2010
Fis-35600,LC,NA,Unknown,2010
Fis-35602,LC,NA,Unknown,2010
Fis-35603,LC,NA,Unknown,2010
Fis-35604,LC,NA,Unknown,2010
Fis-35606,LC,NA,Unknown,2010
Fis-47175,NA,NA,NA,NA
Fis-28941,NA,NA,NA,NA
Fis-35608,NA,NA,NA,NA
Fis-28942,LC,NA,Unknown,2010
Fis-28945,NA,NA,NA,NA
Fis-28946,LC,NA,Unknown,2010
Fis-28947,DD,NA,Unknown,2009
Fis-28948,LC,NA,Unknown,2010
Fis-35610,LC,NA,Unknown,2010
Fis-28949,LC,NA,Unknown,2010
URM-2-3646,NA,NA,NA,NA
Fis-28954,LC,NA,Unknown,2010
Fis-35611,LC,NA,Unknown,2010
Fis-35613,LC,NA,Unknown,2010
Fis-124203,LC,NA,Unknown,2010
Fis-62914,LC,NA,Unknown,2010
Fis-35617,LC,NA,Unknown,2010
Fis-28956,LC,NA,Unknown,2010
Fis-28957,LC,NA,Unknown,2010
Fis-28959,LC,NA,Unknown,2010
Fis-35618,LC,NA,Unknown,2010
Fis-126237,LC,NA,Unknown,2010
Fis-35619,LC,NA,Unknown,2010
Fis-35620,LC,NA,Stable,2010
Fis-28962,LC,NA,Unknown,2010
Fis-28963,LC,NA,Unknown,2010
Fis-28964,LC,NA,Unknown,2010
Fis-28965,LC,NA,Unknown,2010
Fis-35622,LC,NA,Unknown,2010
Fis-35625,LC,NA,Stable,2014
Fis-28967,LC,NA,Stable,2014
Fis-35628,LC,NA,Stable,2010
Fis-28968,LC,NA,Stable,2014
Fis-28969,LC,NA,Stable,2010
Fis-35630,LC,NA,Stable,2014
Fis-35631,LC,NA,Stable,2014
Fis-28971,LC,NA,Stable,2014
Fis-162304,LC,NA,Stable,2014
Fis-35632,LC,NA,Stable,2010
Fis-28973,NA,NA,NA,NA
Fis-28974,LC,NA,Unknown,2010
Fis-28975,LC,NA,Unknown,2016
Fis-28976,NA,NA,NA,NA
Fis-35634,LC,NA,Unknown,2016
Fis-35635,LC,NA,Unknown,2012
Fis-35637,NA,NA,NA,NA
Fis-167416,NA,NA,NA,NA
Fis-28978,LC,NA,Unknown,2010
Fis-28979,DD,NA,Unknown,2010
Fis-35638,NA,NA,NA,NA
Fis-28980,LC,NA,Unknown,2010
Fis-28981,LC,NA,Unknown,2010
Fis-28982,LC,NA,Unknown,2010
Fis-28983,LC,NA,Unknown,2010
Fis-28984,LC,NA,Unknown,2010
Fis-28985,LC,NA,Unknown,2010
Fis-28987,LC,NA,Unknown,2010
Fis-35639,LC,NA,Unknown,2010
Fis-35641,LC,NA,Unknown,2010
Fis-28988,VU,"B2ab(iv,v)",Decreasing,2010
Fis-35643,LC,NA,Unknown,2010
Fis-35647,LC,NA,Stable,2010
Fis-132715,NA,NA,NA,NA
Fis-28992,LC,NA,Unknown,2010
Fis-28993,LC,NA,Unknown,2010
Fis-35652,LC,NA,Unknown,2010
Fis-35653,DD,NA,Unknown,2010
Fis-35654,LC,NA,Stable,2010
Fis-28995,NA,NA,NA,NA
Fis-28996,LC,NA,Stable,2010
Fis-28997,LC,NA,Stable,2010
Fis-35657,DD,NA,Unknown,2010
Fis-35658,NA,NA,NA,NA
Fis-28998,LC,NA,Stable,2010
Fis-28999,LC,NA,Unknown,2010
Fis-29005,NA,NA,NA,NA
Fis-29007,LC,NA,Unknown,2010
Fis-29009,LC,NA,Unknown,2010
Fis-35669,LC,NA,Unknown,2010
Fis-35671,LC,NA,Unknown,2010
Fis-29010,LC,NA,Unknown,2010
Fis-29014,NA,NA,NA,NA
Fis-35677,LC,NA,Unknown,2010
Fis-29016,LC,NA,Unknown,2010
Fis-29017,LC,NA,Unknown,2010
Fis-29020,LC,NA,Unknown,2010
Fis-35680,LC,NA,Unknown,2010
Fis-35682,LC,NA,Unknown,2010
Fis-29021,LC,NA,Unknown,2010
Fis-29022,LC,NA,Unknown,2010
Fis-35684,LC,NA,Unknown,2010
Fis-35685,LC,NA,Unknown,2010
Fis-35686,LC,NA,Unknown,2010
Fis-29025,LC,NA,Unknown,2010
Fis-35687,NA,NA,NA,NA
Fis-35688,DD,NA,Decreasing,2010
Fis-21899,LC,NA,Unknown,2016
Fis-35689,DD,NA,Decreasing,2010
Fis-35690,LC,NA,Unknown,2010
Fis-29027,LC,NA,Unknown,2010
Fis-35692,LC,NA,Unknown,2010
Fis-29028,LC,NA,Unknown,2012
Fis-29029,LC,NA,Stable,2012
Fis-146620,NA,NA,NA,NA
Fis-29031,LC,NA,Unknown,2010
Fis-35694,NA,NA,NA,NA
Fis-29032,LC,NA,Unknown,2010
Fis-35696,LC,NA,Unknown,2010
Fis-29037,LC,NA,Unknown,2010
Fis-29038,LC,NA,Unknown,2010
Fis-29039,LC,NA,Unknown,2010
Fis-35698,LC,NA,Unknown,2010
Fis-29040,LC,NA,Unknown,2010
Fis-29041,LC,NA,Unknown,2010
Fis-35699,NA,NA,NA,NA
Fis-35700,LC,NA,Unknown,2010
Fis-35701,LC,NA,Unknown,2010
Fis-29043,LC,NA,Unknown,2010
Fis-35702,LC,NA,Unknown,2010
Fis-35703,LC,NA,Unknown,2010
Fis-29044,LC,NA,Unknown,2010
Fis-144993,NA,NA,NA,NA
Fis-35708,NA,NA,NA,NA
Fis-29047,LC,NA,Unknown,2010
Fis-29051,NA,NA,NA,NA
Fis-29052,NA,NA,NA,NA
Fis-29053,NA,NA,NA,NA
Fis-29054,NA,NA,NA,NA
Fis-35710,NA,NA,NA,NA
Fis-35711,NA,NA,NA,NA
Fis-132770,NA,NA,NA,NA
Fis-35713,NA,NA,NA,NA
Fis-35714,NA,NA,NA,NA
Fis-35715,NA,NA,NA,NA
Fis-56835,NA,NA,NA,NA
Fis-60981,NA,NA,NA,NA
Fis-35721,LC,NA,Unknown,2010
Fis-29060,LC,NA,Unknown,2010
Fis-29061,LC,NA,Unknown,2010
Fis-35723,LC,NA,Unknown,2010
Fis-35729,LC,NA,Unknown,2010
Fis-35733,LC,NA,Unknown,2010
Fis-35734,LC,NA,Stable,2010
Fis-21918,DD,NA,Unknown,2010
Fis-29066,LC,NA,Unknown,2010
Fis-29067,NA,NA,NA,NA
Fis-35738,NA,NA,NA,NA
Fis-35739,NA,NA,NA,NA
Fis-29069,NA,NA,NA,NA
Fis-35741,NA,NA,NA,NA
Fis-29070,NA,NA,NA,NA
Fis-29071,NA,NA,NA,NA
Fis-29072,NA,NA,NA,NA
Fis-29073,NA,NA,NA,NA
Fis-29074,LC,NA,Unknown,2010
Fis-132553,EN,A2bd+3bd+4bd,Decreasing,2004
Fis-35747,LC,NA,Unknown,2010
Fis-35750,LC,NA,Unknown,2010
Fis-35751,LC,NA,Unknown,2010
Fis-29078,LC,NA,Unknown,2010
Fis-35756,LC,NA,Unknown,2010
Fis-35759,LC,NA,Unknown,2010
Fis-29084,LC,NA,Unknown,2014
Fis-29085,LC,NA,Stable,2014
Fis-29086,LC,NA,Unknown,2014
Fis-29088,LC,NA,Unknown,2014
Fis-35764,LC,NA,Unknown,2010
Fis-29090,LC,NA,Stable,2014
Fis-35769,LC,NA,Unknown,2010
Fis-35770,LC,NA,Unknown,2010
Fis-35774,LC,NA,Unknown,2010
Fis-35775,LC,NA,Unknown,2010
Fis-35776,LC,NA,Unknown,2010
Fis-35778,LC,NA,Unknown,2010
Fis-35779,NA,NA,NA,NA
Fis-35780,DD,NA,Unknown,2010
Fis-35781,DD,NA,Unknown,2010
Fis-29092,LC,NA,Unknown,2016
Fis-29093,LC,NA,Unknown,2010
Fis-35783,LC,NA,Unknown,2010
Fis-62913,LC,NA,Unknown,2010
Fis-29095,LC,NA,Unknown,2010
Fis-35785,LC,NA,Unknown,2010
Fis-35786,LC,NA,Unknown,2010
Fis-35787,LC,NA,Unknown,2010
Fis-35788,LC,NA,Unknown,2010
Fis-35790,LC,NA,Unknown,2010
Fis-29096,LC,NA,Unknown,2016
Fis-35791,LC,NA,Unknown,2016
Fis-29097,LC,NA,Decreasing,2017
Fis-29098,DD,NA,Unknown,2017
Fis-35792,LC,NA,Unknown,2016
Fis-164872,LC,NA,Unknown,2016
Fis-29099,LC,NA,Unknown,2016
Fis-35794,LC,NA,Unknown,2016
Fis-35795,LC,NA,Unknown,2016
Fis-29100,NA,NA,NA,NA
Fis-35797,NA,NA,NA,NA
Fis-138530,VU,B2ac(iv); D2,Unknown,2010
Fis-57918,LC,NA,Decreasing,2016
Fis-144537,LC,NA,Unknown,2014
Fis-35801,NA,NA,NA,NA
Fis-113707,LC,NA,Unknown,2010
Fis-35802,LC,NA,Unknown,2010
Fis-35803,LC,NA,Decreasing,2010
Fis-35805,NA,NA,NA,NA
Fis-35806,NA,NA,NA,NA
Fis-29108,NA,NA,NA,NA
Fis-35807,NA,NA,NA,NA
Fis-35808,NA,NA,NA,NA
Fis-35809,NA,NA,NA,NA
Fis-29109,NA,NA,NA,NA
Fis-144227,NA,NA,NA,NA
Fis-35811,NA,NA,NA,NA
Fis-29110,NA,NA,NA,NA
Fis-138560,NA,NA,NA,NA
Fis-35812,NA,NA,NA,NA
Fis-35813,NA,NA,NA,NA
Fis-29112,NA,NA,NA,NA
Fis-29113,NA,NA,NA,NA
Fis-29114,NA,NA,NA,NA
Fis-29116,LC,NA,Unknown,2010
Fis-29117,LC,NA,Unknown,2010
Fis-64776,LC,NA,Unknown,2015
Fis-22176,LC,NA,Unknown,2015
Fis-35814,NA,NA,NA,NA
Fis-35815,NA,NA,NA,NA
Fis-169149,NA,NA,NA,NA
